review_id,x_vector,y_vector,stars
UTWI0z7nV5zNJLWnOz9Z5A,-37.352955,60.40183,4
7uzj6rJ71toRmdsXyo2suA,-14.9270315,0.015415661,4
HXU9dbOSlByXW-dB8LmJgA,-171.22758,82.853134,4
1FvrC35rTJ6BWFvRog7tuA,-35.304855,49.955868,3
Ckk1Cne1GHwzmJfo7M4r2w,-24.137691,18.815964,5
bu9S6tFKuTrMcNxQaQYMQA,-31.068312,34.704327,3
V75NCU3EhqTDwPj5In94DQ,-27.480736,32.403564,4
GxaYFCprt-wyqO--vB4PHQ,-80.43833,91.76731,4
RZZ9Tf5GWYwrcjg-ACiKmQ,-38.707684,32.694096,4
Bmt1QRDT0GfyXkhOvj_BfQ,-28.923582,45.93115,5
V4hBluqV-xbgzk7Y6y9kzw,-43.02875,36.339813,4
hHwQaL3QN2xgTBSCQ26wIA,-44.66415,30.567015,4
GOconNmWgg6cJbgwSwrozw,-70.96578,63.89004,5
6jRs2P6zTYMn36fVnCu1Zw,-114.719765,148.30241,4
VyX6x7wnThr9g9Z6VBDIgA,-50.44962,48.906,2
IRGqHYbK5AOEv5MNYMz7cQ,-33.47042,28.999542,4
9CXNIZTV9uStuNbvvFS8uw,-17.164837,8.491053,4
nzSOTOZiAb1ITqbRgWKnnQ,-19.965399,16.177048,5
9BJJwIciVG-JPlXetInbXw,-36.944424,45.867317,4
DJVxOfj2Rw9zklC9tU3i1w,-37.12097,26.283722,1
J2Ig5cV9fJU-KGewdzQXOA,-36.54534,35.394943,3
rghv_qgXpluzDE9qn8CNrw,-21.205229,20.500006,4
GXj4PNAi095-q9ynPYH3kg,-15.848131,6.9736204,1
LN4l4wklQB0IVBjm-vq9TA,-22.175068,29.123043,1
L_q9kLaGo33j2Ij8yUIGDw,-33.126213,27.064224,5
dY_p1YkjZxJmREb9Lfc5vw,-20.31163,27.2457,5
mTcLzmYunqJIGKgklFWICg,-36.472378,62.036945,4
-_hed9F2kUDdb4oa1CXKIA,-34.243137,22.885677,5
xNvNTC2iXwJiiujNK6Sphg,-25.794378,7.6964693,4
jNewOjPp56NMDrKlajrgFQ,-29.121914,26.525745,1
WONOXuKoiT2hkKITvTfC0g,-38.067997,41.372322,4
IC2EAv_PGx44FnTvfAs_FA,-79.91981,65.74483,4
SWdrx60taMa442b1enwfCw,-29.113966,20.22962,5
UxzU0E5eM_ZgIMus-wpS8g,-12.577877,14.190716,4
QqUj8brMiWkMicmlWtpPrw,-135.83253,95.45896,4
gLHPqclZG51HH9EGzOFjxQ,-35.707493,56.02402,4
ZXp8gEhfE7BHgRYIgnd3gQ,-15.872899,5.2638783,5
odua8qFSMEXSFYmElQTspQ,-19.193314,22.973034,1
vwHmBJ5YKbZxNFtmP2KpRQ,-61.384926,59.188164,4
BslISEau8Pk2voEPN7kY-g,-69.48752,85.75025,4
xE2MKvzes5Twg-jfAe8s4Q,-89.091736,74.05934,5
bxPZPvBJp5HwyKVHhcUMLQ,-33.558796,9.223636,4
EUCqs_gfKZi1YoKVkWjSYw,-67.72704,58.78309,1
1RSEAeAWilUywt1B3SAkSA,-28.530897,28.299856,4
pyCM8bH0z8fp6cWg6f2hKQ,-50.140938,36.65107,5
WD99RuBcxqvYRCFTf_mT3A,-46.504578,51.50105,4
aRcp0rlSuAiuF-CDDZx9nQ,-124.411194,114.956085,5
VqNdpXrssjJrC0Z_swPUdA,-29.458206,30.29131,1
6iEP6dvHIefVMMnjeDRNcQ,-26.939615,26.488186,1
CxVOhu043DTW4zPTsQnJPA,-26.48456,24.824171,5
ZbSLbPWeDfSL1HxyiSRqEg,-67.12721,68.78884,4
pMm0qHdnBWd_PWGyYEOnWg,-44.153706,52.697033,4
E6-DKEktgxA_fLEnfguAwA,-22.19012,17.233824,4
i5Ms8r5AMRa-wcU5-necFA,-6.8627367,-1.3839705,5
Y8GAudCnbK-05qkFzLsv0Q,-24.682575,31.868786,4
cALYebKb5hygdKHqlQJu2Q,-15.21567,18.84017,4
SawdMXLYD5ytRmMFvY4nmA,-31.928322,27.814838,5
j-jMQdELr6AFkCcEHxB7ww,-71.556465,82.86735,5
